run_id,case_id,passage_id,artifact_type,text_sha256,character_n
technical-3297298c775d,HCI-05,HCI-05-B,safety,e20e0c82a1e8c29bfd9522c50dfea5bc83465bf0515233b99f30a740a0cc2653,52
technical-3297298c775d,HCI-05,HCI-05-C,activity,a0cddaec404fa113ba56946268ea47b9a139b4fdf46f4277cbd7d65ee13cabef,65
technical-3297298c775d,HCI-05,HCI-05-D,recruitment,543557c85ec774ce04ec85716a6b62d93bd436b6e6ec6aa51f2d646b8a06aa38,48
technical-3297298c775d,HCI-06,HCI-06-A,consent,c37dc421eedebd5fbf9102d29c1258a2c527fe0eafb05a7b12dc4f3b9dc21ba0,49
technical-3297298c775d,HCI-06,HCI-06-B,safety,46d0e16a745ccb70fa9aa054f00321825aa99d8d0401ba7a26b3a0103e0095d6,52
technical-3297298c775d,HCI-06,HCI-06-C,recruitment,cd3ac5e9745743724b5ee55a8f189023904cf9eb21a0e71d9ed11f837b042bf9,65
technical-3297298c775d,HCI-07,HCI-07-A,consent,9e71e223e18e735c0c667194019808a09b093e1b052eaaa750a726f44c33cf0d,59
technical-3297298c775d,HCI-07,HCI-07-B,safety,383d1174174864d4dfa77f1df9d13c7f092e57a5ec403f9dfeb4cb93966feb87,47
technical-3297298c775d,HCI-07,HCI-07-C,activity,c968a4e09baeeade264c28cd884574bb2bda717008993ef3a36b50ac9ae471a1,67
technical-3297298c775d,QS-01,QS-01-A,consent,02847c7c02febe62b7e426d2fbc1129a13c56ee221eada599476c25c543368b8,57
technical-3297298c775d,QS-01,QS-01-B,recruitment,a31048b245ef4487ba2fce548f85782e009e35cc32dacdec1bd2ade6e7d2872d,54
technical-3297298c775d,QS-01,QS-01-C,follow_up,541c0ea51c115fa626adbda4eb3bd564834b64fba27091aaaed16f0ca8f593fa,55
technical-3297298c775d,QS-02,QS-02-A,safety,2ae4ce32436076d45fcc3509636eebb4a0b6ded5c1416efb3a840035e0fcb04b,64
technical-3297298c775d,QS-02,QS-02-B,recruitment,1fc5c8890358e01c67508495ee876a0025afa7c4015e4877e4a49902241830ba,61
technical-3297298c775d,QS-02,QS-02-C,follow_up,aa4e2903ce0bc964b330135df2227758e183eb54136b8705e44023e68fd20bd6,52
technical-3297298c775d,QS-03,QS-03-A,consent,97c11b295db4500da8b01cf6bb556ee1bd56bed7280ffb885b6ad321dc3e1292,67
technical-3297298c775d,QS-03,QS-03-B,safety,1666ef11750cb59636a2e702ab2654fb5ae64ad199cdc83dfcc64296fb620161,58
technical-3297298c775d,QS-03,QS-03-C,activity,2f1ab6d08d5794bc90b5e1524a731f43b8e4ede224392b31671657aed960a64a,72
technical-3297298c775d,QS-03,QS-03-D,recruitment,9fb5640e20b4efe8102674d29eb7414883fdd9c5a5005b0da753cfa882760d96,51
technical-3297298c775d,QS-04,QS-04-A,consent,e3922f6fd02acc0a40b26802d2652069fffe386109e776c19ee04a2e7deaccf7,48
technical-3297298c775d,QS-04,QS-04-B,safety,51c9f2834b658010b61d05d1ce343c252558033cc6578091e36a4db95b2af790,51
technical-3297298c775d,QS-04,QS-04-C,recruitment,552a6b8e455a6eb536c555751d6f05cbb8a3845fb1f6b494097a6d2ec3c432e0,56
technical-3297298c775d,QS-05,QS-05-A,consent,3c53f9b46ecec4ed23bb2c42985de99d6b1327146b22e6cd01693eaac671ab46,37
technical-3297298c775d,QS-05,QS-05-B,safety,6a4fed6e96ce050548c6f0feeecf248ce5632a45b11f87b9a908bd41c6a66ac2,45
technical-3297298c775d,QS-05,QS-05-C,recruitment,d70578c9bdc56e7aa81ca27c84fb264289de28cdd48bbe0a74964f152f9cf673,52
technical-3297298c775d,QS-06,QS-06-A,consent,115181f405cf12e90054e6af7a6caf3c8f30df70ae532aabe2c4c33b56b51cdc,78
technical-3297298c775d,QS-06,QS-06-B,safety,383d1174174864d4dfa77f1df9d13c7f092e57a5ec403f9dfeb4cb93966feb87,47
technical-3297298c775d,QS-06,QS-06-C,activity,666f6e7b2a953095eace8e0375085ae7699dbe218cfabdfc2a90508bf8c768d2,75
technical-3297298c775d,QS-07,QS-07-A,consent,3a4214408c6638aee8bc1de0b54f372ff7263974ad19c4099b9cb24c24627194,43
technical-3297298c775d,QS-07,QS-07-B,safety,84ed5d6c7fc66d085cff2d196b720124cafb2af3abe8fefda824eaa095d7651b,50
technical-3297298c775d,QS-07,QS-07-C,follow_up,3543d2fce3a53b92f1e5d4bdfd736e10305903ce00e030516ab5f347a87cf828,50
technical-3297298c775d,UX-01,UX-01-A,safety,1889a52813056b5a9f8b45a02bf414c50a5806edd43cdeed0bf8439c38abc816,58
technical-3297298c775d,UX-01,UX-01-B,recruitment,ef962fe446a0b68c9b60ea301bddf3189517c2980020061331304cba73ad09e6,54
technical-3297298c775d,UX-01,UX-01-C,follow_up,919a1536b65dbb9f0e84b40b44c5a3577b4e63f61a71ac0c0665c5b6b16b79fa,39
technical-3297298c775d,UX-02,UX-02-A,consent,98b9d71291799a73225fa86738e1dd88430e94554b01ddf1f5e04efe262bca6d,33
technical-3297298c775d,UX-02,UX-02-B,recruitment,621826002489ca9ca8f0156cf5c6768bc5020829e3ab9974b054a73b97eae6d8,41
technical-3297298c775d,UX-02,UX-02-C,follow_up,2b28febfbd46e7a75c45d1e5d9b8a234bb3519bbe8a53c670f089d329aa5b6c3,35
technical-3297298c775d,UX-03,UX-03-A,consent,d9efc47a0df0ed86e912b1ac2466427096fe5c68cc6c7e7c211df221d148b016,74
technical-3297298c775d,UX-03,UX-03-B,safety,bf0918cfea1a97c18e53a03e3b2ae5a87dcf272eb5d7868cc06b9023bf81a147,60
technical-3297298c775d,UX-03,UX-03-C,activity,f00a34a5cfc0ee54102c628ac02ed7335012c6ef31f9633d8a103fab6ddacb0a,58
technical-3297298c775d,UX-03,UX-03-D,recruitment,543557c85ec774ce04ec85716a6b62d93bd436b6e6ec6aa51f2d646b8a06aa38,48
technical-3297298c775d,UX-04,UX-04-A,consent,4c29d58ff8541fdf86ddaa3211f09ee8d92d5fb9900cf32232e807447ceb3afc,35
technical-3297298c775d,UX-04,UX-04-B,safety,78b711c6f34db65120645bdbbec1cc239e2fc620c515847591fe9d14c64ee1b2,42
technical-3297298c775d,UX-04,UX-04-C,recruitment,ba4a6ebe2f5b0d0ac56d28c32f487a8d89eebb38ca9f118be616c6a2c90ad734,61
technical-3297298c775d,UX-05,UX-05-A,consent,a3cb9d5423533d03f53062b996308c11062822b07af4f08c83c449c84661a7c6,43
technical-3297298c775d,UX-05,UX-05-B,safety,6be9625f22213678f5db02e8b98753e08ea9b4e742f2ba7ec43af4afebc59646,45
technical-3297298c775d,UX-05,UX-05-C,activity,e48720bcc3ceddaac42cca0ab2c70077689b0720f95f380cb809147033d45759,56
technical-3297298c775d,UX-06,UX-06-A,consent,54a48ebaa8509ab4a9e4ed021fb0e1d887097d5171a52392a568439683b9e167,45
technical-3297298c775d,UX-06,UX-06-B,safety,0288f1b18ad8cf4a908f5b6923747663a5a269820a1dac06d032e6343488edcc,41
technical-3297298c775d,UX-06,UX-06-C,recruitment,11d2b10833e5a74b9996bc4eef3dc740e8d2cde0d614c9ba61a9f8d5c7efb6f7,44
technical-3297298c775d,UX-07,UX-07-A,consent,1c1d071a8643bf9eb3d5727d92c381c9e31e7f8c32f7428c1bb80168f9b31f89,68
technical-3297298c775d,UX-07,UX-07-B,safety,c3747853291accedf6eb4833186d2c8dc3f8c80d07dbdad464f9f51387204038,62
technical-3297298c775d,UX-07,UX-07-C,activity,666f6e7b2a953095eace8e0375085ae7699dbe218cfabdfc2a90508bf8c768d2,75
